epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2291.14,0.66774,0.52695,1.04228,0.95676,0.92002,0.9549,0.80871,0.65711,0.50338,1.00086,0.000640128,0.000640128,0.000640128
58,2331.86,0.65638,0.5044,1.02749,0.97093,0.90968,0.9609,0.82156,0.62564,0.45323,0.97691,0.000621791,0.000621791,0.000621791
59,2373.6,0.64613,0.50722,1.02741,0.96029,0.92481,0.95571,0.8025,0.65648,0.48869,0.99937,0.000603454,0.000603454,0.000603454
60,2414.14,0.64346,0.50549,1.01772,0.95515,0.93944,0.96458,0.83194,0.61837,0.45431,0.97499,0.000585117,0.000585117,0.000585117
61,2454.45,0.64139,0.49694,1.02546,0.96022,0.91495,0.96722,0.82723,0.62287,0.45471,0.97171,0.00056678,0.00056678,0.00056678
62,2494.93,0.63835,0.49626,1.02081,0.97096,0.92559,0.96918,0.83305,0.61076,0.44584,0.96568,0.000548443,0.000548443,0.000548443
63,2535.11,0.64067,0.49045,1.02601,0.95663,0.95062,0.96625,0.83258,0.60848,0.45089,0.97462,0.000530106,0.000530106,0.000530106
64,2575.28,0.63236,0.49306,1.01664,0.95114,0.93833,0.96743,0.84021,0.58189,0.43,0.94714,0.000511769,0.000511769,0.000511769
65,2616.49,0.61195,0.45362,1.00534,0.94659,0.93309,0.96493,0.8419,0.59744,0.43632,0.95413,0.000493432,0.000493432,0.000493432
66,2657.6,0.61287,0.46318,1.00655,0.96991,0.90751,0.96039,0.82712,0.61914,0.44585,0.97939,0.000475095,0.000475095,0.000475095
67,2698.77,0.60054,0.46096,1.00755,0.9566,0.94381,0.96951,0.8428,0.58108,0.44091,0.95579,0.000456758,0.000456758,0.000456758
68,2737.99,0.59996,0.45274,1.00221,0.96147,0.94583,0.96706,0.83701,0.57878,0.4236,0.9587,0.000438421,0.000438421,0.000438421
69,2777.18,0.58393,0.44105,0.9904,0.95612,0.9419,0.96496,0.83618,0.59617,0.41491,0.96585,0.000420084,0.000420084,0.000420084
70,2817.54,0.58281,0.45058,0.99468,0.96421,0.93838,0.9666,0.85247,0.56821,0.41971,0.94877,0.000401747,0.000401747,0.000401747
71,2857.28,0.57612,0.43942,0.98426,0.98164,0.95069,0.97465,0.86486,0.55763,0.38533,0.93905,0.00038341,0.00038341,0.00038341
72,2897.34,0.56468,0.42236,0.98298,0.97248,0.95292,0.97216,0.86869,0.54272,0.37901,0.93673,0.000365073,0.000365073,0.000365073
73,2937.49,0.56099,0.42285,0.98032,0.98543,0.93697,0.97351,0.85174,0.57048,0.39093,0.94914,0.000346736,0.000346736,0.000346736
74,2977.97,0.55463,0.42031,0.98563,0.9747,0.93653,0.96901,0.85314,0.57269,0.40265,0.9515,0.000328399,0.000328399,0.000328399
75,3018.28,0.55806,0.41996,0.98111,0.95083,0.95003,0.96263,0.8551,0.54228,0.39559,0.94061,0.000310062,0.000310062,0.000310062
76,3058.08,0.54616,0.40413,0.97653,0.96063,0.94855,0.9703,0.86805,0.54585,0.39371,0.93701,0.000291725,0.000291725,0.000291725
77,3098.49,0.55022,0.41374,0.9813,0.97481,0.94276,0.97178,0.87607,0.51982,0.38304,0.91416,0.000273388,0.000273388,0.000273388
78,3140.67,0.53993,0.40507,0.96985,0.9733,0.95697,0.97263,0.87816,0.5213,0.37466,0.93131,0.000255051,0.000255051,0.000255051
